,pcsp,unif_posterior,unif_lb,unif_ub,unif_samples,exp_posterior,exp_lb,exp_ub,exp_samples,gp,dataset
10,00000000000000000000000000000000000000000000000000000001100|00000000000000011111111111111111111111111111111111111110000|00000000000000000000000000000000000000000000000000000010000,0.04127628216771349,0.029001938,0.05497823600000001,760225.0,0.04103444546274568,0.028870413,0.05464029249999999,761952.0,0.0377828,ds7.bench.estimation
11,00000000000000000000000000000000000000000000000000000001100|11111111111111100000000000000000000000000000000000000000000|00000000011111100000000000000000000000000000000000000000000,0.03390675289980787,0.022232224000000002,0.047119048,101495.0,0.033638318166500154,0.02211770875,0.046676040499999995,100090.0,0.0346901,ds7.bench.estimation
12,00000000000000000000000000000000000000000000000000000001100|11111111111111111111111111111111111111111111111111111110000|00000000000000011111111111111111111111111111111111111110000,0.009021289,0.009021289,0.009021289,1.0,,,,,0.00582002,ds7.bench.estimation
13,00000000000000000000000000000000000000000000000000000010000|00000000000000000000000000111111111111111111111111111000000|00000000000000000000000000000000000000000000000000001000000,0.03858878076923078,0.028457427,0.051265037999999985,39.0,0.037255871333333336,0.025732986,0.049515464999999995,45.0,0.0350697,ds7.bench.estimation
14,00000000000000000000000000000000000000000000000000000010000|00000000000000011111111111000000000000000000000000000100000|00000000000000000000000000000000000000000000000000000100000,0.024570472307692305,0.017307862,0.032336433,13.0,0.026522952857142852,0.0166438,0.035847055499999995,7.0,0.0262525,ds7.bench.estimation
15,00000000000000000000000000000000000000000000000000000010000|00000000000000011111111111111111111111111111111111111000000|00000000000000000000000000111111111111111111111111111000000,0.02098996,0.02098996,0.02098996,1.0,0.02028821,0.02028821,0.02028821,1.0,0.0240673,ds7.bench.estimation
16,00000000000000000000000000000000000000000000000000000010000|00000000000000011111111111111111111111111111111111111100000|00000000000000000000000000000000000000000000000000000100000,0.026818605432124772,0.01678779425,0.038323280499999994,463910.0,0.026702319667661973,0.01676056375,0.03813152425,464172.0,0.025899,ds7.bench.estimation
17,00000000000000000000000000000000000000000000000000000010000|00000000000000011111111111111111111111111111111111111100000|00000000000000000000000000111111111111111111111111111000000,0.02742569047458733,0.0168840405,0.039467203,374203.0,0.027283997378019113,0.016827416,0.039226546999999994,374034.0,0.0256728,ds7.bench.estimation
18,00000000000000000000000000000000000000000000000000000100000|00000000000000000000000011000000000000000000000000000000000|00000000000000000000000001000000000000000000000000000000000,0.07903843,0.07903843,0.07903843,1.0,0.09649349,0.09649349,0.09649349,1.0,0.0858355,ds7.bench.estimation
19,00000000000000000000000000000000000000000000000000000100000|00000000000000011111111100000000000000000000000000000000000|00000000000000000000001100000000000000000000000000000000000,0.02757530205128205,0.017167708,0.038552484249999984,624.0,0.027055021708766717,0.017117132,0.038676218,673.0,0.0245326,ds7.bench.estimation
20,00000000000000000000000000000000000000000000000000000100000|00000000000000011111111111000000000000000000000000000000000|00000000000000000000001100000000000000000000000000000000000,0.0345607325,0.026918924,0.04141551325,4.0,0.02875373166666667,0.0251925775,0.03181918375,6.0,0.0278456,ds7.bench.estimation
21,00000000000000000000000000000000000000000000000000000100000|00000000000000011111111111000000000000000000000000000000000|00000000000000000000000011000000000000000000000000000000000,0.02526876986636369,0.01613142125,0.03588430625,373626.0,0.025121702319606542,0.01602452,0.0356350875,373406.0,0.0238942,ds7.bench.estimation
22,00000000000000000000000000000000000000000000000000000100000|00000000000000011111111111111111111111111111111111111000000|00000000000000000000000000111111111111111111111111111000000,0.02217355774303636,0.01316903175,0.03269428299999998,463910.0,0.022067994153051024,0.013090751,0.032596375999999996,464172.0,0.0216827,ds7.bench.estimation
23,00000000000000000000000000000000000000000000000000000100000|00000000000000011111111111111111111111111111111111111010000|00000000000000000000000000000000000000000000000000000010000,0.01038431,0.01038431,0.01038431,1.0,0.0185568,0.0185568,0.0185568,1.0,0.0160388,ds7.bench.estimation
24,00000000000000000000000000000000000000000000000000000110000|00000000000000011111111111111111111111111111111111111000000|00000000000000000000000000111111111111111111111111111000000,0.02286686888567963,0.013662481499999999,0.033631705500000005,61835.0,0.022730259104044182,0.013662487000000001,0.03347009299999999,61743.0,0.0214731,ds7.bench.estimation
25,00000000000000000000000000000000000000000000000000001000000|00000000000000000000000000111111111111111111111111110000000|00000000000000000000000000000000000000000000000000010000000,0.04004280261421932,0.02884013,0.05265352,900001.0,0.03979102492426685,0.028697201,0.0522657585,900002.0,0.0401182,ds7.bench.estimation
26,00000000000000000000000000000000000000000000000000010000000|00000000000000000000000000111111111111111111111111100000000|00000000000000000000000000000000000000000011111111100000000,0.053427784883750114,0.04078787,0.0673785,900001.0,0.053103736616429725,0.040533735499999994,0.066931008,900002.0,0.052273,ds7.bench.estimation
27,00000000000000000000000000000000000000000000000000100000000|00000000000000000000000000000000000000000000000111000000000|00000000000000000000000000000000000000000000000011000000000,0.00818275025,0.005086094125,0.009675305925,12.0,0.0076606665,0.004401483425,0.01092626475,22.0,0.00688576,ds7.bench.estimation
28,00000000000000000000000000000000000000000000000000100000000|00000000000000000000000000000000000000000000001111000000000|00000000000000000000000000000000000000000000000111000000000,0.004402280281360537,0.00160071325,0.00838425875,894831.0,0.004382371616806312,0.0015985866000000001,0.008340074799999996,894753.0,0.0037439,ds7.bench.estimation
29,00000000000000000000000000000000000000000000000011000000000|00000000000000000000000000000000000000000000001000100000000|00000000000000000000000000000000000000000000000000100000000,0.007595477777777778,0.0062144134,0.0085880912,9.0,0.008110367875,0.0055269348250000004,0.009599149625000001,8.0,0.00697637,ds7.bench.estimation
30,00000000000000000000000000000000000000000000000100000000000|00000000000000000000000000000000000000000000000011000000000|00000000000000000000000000000000000000000000000001000000000,0.0035313533075615115,0.00128653745,0.006839315275,899992.0,0.0035108636395582643,0.001273422675,0.006788450699999994,899994.0,0.00313676,ds7.bench.estimation
31,00000000000000000000000000000000000000000000000100000000000|00000000000000000000000000000000000000000000001011100000000|00000000000000000000000000000000000000000000000011000000000,0.0029328897,0.00099900764,0.0045312184,9.0,0.003462792625,0.0012746712499999999,0.0057327163250000005,8.0,0.00274055,ds7.bench.estimation
32,00000000000000000000000000000000000000000000000111000000000|00000000000000000000000000000000000000000000001000100000000|00000000000000000000000000000000000000000000000000100000000,0.0028830579453874537,0.00074197732,0.0062821137,5149.0,0.002861883936062464,0.000705243415,0.006228203350000001,5219.0,0.00223728,ds7.bench.estimation
33,00000000000000000000000000000000000000000000001000000000000|00000000000000000000000000000000000000000000000111000000000|00000000000000000000000000000000000000000000000011000000000,0.0074545080624106655,0.003907293250000001,0.012066242500000001,894831.0,0.007412484210148052,0.0038811616,0.011996635999999998,894753.0,0.00693586,ds7.bench.estimation
34,00000000000000000000000000000000000000000000001000000000000|00000000000000000000000000000000000000000000000111100000000|00000000000000000000000000000000000000000000000000100000000,0.0009735280083333332,0.0001497315325,0.0028726330249999998,12.0,0.0012262085909090907,0.000222770215,0.0029160075749999985,22.0,0.000541037,ds7.bench.estimation
35,00000000000000000000000000000000000000000000001000100000000|00000000000000000000000000000000000000000000000011000000000|00000000000000000000000000000000000000000000000001000000000,0.0036924542222222224,0.0017888551999999999,0.0053406042,9.0,0.0034056291250000002,0.0024606542,0.005726624925000001,8.0,0.00280473,ds7.bench.estimation
36,00000000000000000000000000000000000000000000001000100000000|00000000000000000000000000000000000000000000000111000000000|00000000000000000000000000000000000000000000000011000000000,0.005562292274907748,0.0024449805,0.009776501000000002,5149.0,0.005536104335121671,0.0024059598000000003,0.009712724250000006,5219.0,0.00498895,ds7.bench.estimation
37,00000000000000000000000000000000000000000000001111100000000|00000000000000000000000000000000000000000011110000000000000|00000000000000000000000000000000000000000000010000000000000,0.04552018748192771,0.035157389250000004,0.05710235425,34030.0,0.04523988329289123,0.03503838675,0.05667594174999996,33958.0,0.0445582,ds7.bench.estimation
38,00000000000000000000000000000000000000000000001111100000000|00000000000000000000000000000000000000000011110000000000000|00000000000000000000000000000000000000000001110000000000000,0.045493281958896306,0.035273204,0.05702594999999999,19317.0,0.04520515850965771,0.0348863925,0.0566037475,19311.0,0.0445308,ds7.bench.estimation
39,00000000000000000000000000000000000000000000001111100000000|00000000000000000000000000000000000000000011110000000000000|00000000000000000000000000000000000000000001000000000000000,0.045990166030150756,0.035796965,0.058510333750000004,796.0,0.04649141478654592,0.036630723000000004,0.057937001,773.0,0.0451926,ds7.bench.estimation
40,00000000000000000000000000000000000000000000001111100000000|00000000000000000000000000000000000000000011110000000000000|00000000000000000000000000000000000000000000100000000000000,0.04554008559981173,0.035252845000000005,0.05703726174999999,33994.0,0.04522339423636688,0.034969731000000004,0.0567998645,33668.0,0.0445582,ds7.bench.estimation
41,00000000000000000000000000000000000000000000001111100000000|00000000000000000000000000000000000000000011110000000000000|00000000000000000000000000000000000000000000110000000000000,0.04486307708930315,0.03463395175,0.05630990275,811864.0,0.04460207267675909,0.03441365025,0.05599333175,812292.0,0.0439405,ds7.bench.estimation
42,00000000000000000000000000000000000000000000010000000000000|00000000000000000000000000000000000000000001100000000000000|00000000000000000000000000000000000000000000100000000000000,0.000278071,0.000278071,0.000278071,1.0,0.0002364435,0.0002364435,0.0002364435,1.0,9.60619e-07,ds7.bench.estimation
43,00000000000000000000000000000000000000000000010000000000000|00000000000000000000000000000000000000000011000000000000000|00000000000000000000000000000000000000000001000000000000000,0.002203783025834559,0.000601366075,0.004866919149999996,33994.0,0.002187557395793038,0.000587279215,0.00481361629999999,33668.0,0.00163954,ds7.bench.estimation
44,00000000000000000000000000000000000000000000010000000000000|00000000000000000000000000000000000000000011100000000000000|00000000000000000000000000000000000000000000100000000000000,0.0005482630842583242,1.3573353750000001e-05,0.0020560520500000003,34030.0,0.0005482249510764359,1.387592025e-05,0.002018723049999997,33958.0,9.5946e-07,ds7.bench.estimation
45,00000000000000000000000000000000000000000000100000000000000|00000000000000000000000000000000000000000011000000000000000|00000000000000000000000000000000000000000001000000000000000,0.00219853507952777,0.0006015155325,0.004815288175000001,34030.0,0.0021944741288208963,0.0005943804125,0.004808213049999997,33958.0,0.00163954,ds7.bench.estimation
46,00000000000000000000000000000000000000000000100000000000000|00000000000000000000000000000000000000000011010000000000000|00000000000000000000000000000000000000000000010000000000000,0.0005483886657879191,1.398352725e-05,0.002017458999999996,33994.0,0.000547000874851402,1.4310030250000005e-05,0.0020053504499999994,33668.0,9.5946e-07,ds7.bench.estimation
47,00000000000000000000000000000000000000000000110000000000000|00000000000000000000000000000000000000000011000000000000000|00000000000000000000000000000000000000000001000000000000000,0.0016581417485808485,0.0003267409525,0.004012476249999999,811864.0,0.0016458500466787352,0.00032440998,0.0039906118749999985,812292.0,0.00110534,ds7.bench.estimation
48,00000000000000000000000000000000000000000001000000000000000|00000000000000000000000000000000000000000000110000000000000|00000000000000000000000000000000000000000000010000000000000,0.0021229514342643403,0.000530743725,0.004771716875,19316.0,0.002119283658314345,0.00052118065,0.004789889499999999,19310.0,0.00161173,ds7.bench.estimation
49,00000000000000000000000000000000000000000001000000000000000|00000000000000000000000000000000000000000010110000000000000|00000000000000000000000000000000000000000000110000000000000,0.000644499418748995,1.8181792500000002e-05,0.0024171559999999997,796.0,0.0006507528899684735,1.9532677e-05,0.002627837599999998,773.0,9.5931e-07,ds7.bench.estimation
50,00000000000000000000000000000000000000000010000000000000000|00000000000000000000000000000000000000000000110000000000000|00000000000000000000000000000000000000000000010000000000000,0.0021891364928391956,0.0005517479374999999,0.0047729669999999995,796.0,0.0020601308861190166,0.00046725949000000003,0.0048948112999999994,773.0,0.00158783,ds7.bench.estimation
51,00000000000000000000000000000000000000000010000000000000000|00000000000000000000000000000000000000000001110000000000000|00000000000000000000000000000000000000000000010000000000000,0.003754346,0.003754346,0.003754346,1.0,0.002119826,0.002119826,0.002119826,1.0,0.00177012,ds7.bench.estimation
52,00000000000000000000000000000000000000000010000000000000000|00000000000000000000000000000000000000000001110000000000000|00000000000000000000000000000000000000000000110000000000000,0.0014804695935636053,0.00016186565,0.003921718125,19316.0,0.0014622719222993526,0.0001654955575,0.003874145924999999,19310.0,0.00104321,ds7.bench.estimation
53,00000000000000000000000000000000000000000011000000000000000|00000000000000000000000000000000000000000000110000000000000|00000000000000000000000000000000000000000000010000000000000,0.001102539507749391,0.00011326893750000001,0.003115706,811864.0,0.0010972573939431,0.00011376204000000002,0.003100422625,812292.0,0.000543888,ds7.bench.estimation
54,00000000000000000000000000000000000000000011110000000000000|00000000000000000000000000000000000000000000001111100000000|00000000000000000000000000000000000000000000000100000000000,0.043363943333333335,0.037980838,0.048379562,9.0,0.044976305,0.039048107,0.05391868025,8.0,0.0446481,ds7.bench.estimation
55,00000000000000000000000000000000000000000011110000000000000|00000000000000000000000000000000000000000000001111100000000|00000000000000000000000000000000000000000000000111100000000,0.045505736666666664,0.03862819275,0.05388194975,12.0,0.04693177727272728,0.03439034375,0.057520049999999996,22.0,0.0445197,ds7.bench.estimation
56,00000000000000000000000000000000000000000011110000000000000|00000000000000000000000000000000000000000000001111100000000|00000000000000000000000000000000000000000000000000100000000,0.043551873280463026,0.033487125,0.0548023625,894831.0,0.0432966839242897,0.033261438000000004,0.054491092,894753.0,0.0429474,ds7.bench.estimation
57,00000000000000000000000000000000000000000011110000000000000|00000000000000000000000000000000000000000000001111100000000|00000000000000000000000000000000000000000000000111000000000,0.04456290537774325,0.034351801,0.055711875,5149.0,0.04417247388771795,0.033873480000000004,0.0554935545,5219.0,0.0436195,ds7.bench.estimation
58,00000000000000000000000000000000000000000011111111100000000|00000000000000000000000000111111111111111100000000000000000|00000000000000000000000000000000000000001100000000000000000,0.01693293890937899,0.009993531,0.02529992,900001.0,0.016844015459223424,0.00992587185,0.0251438165,900002.0,0.0161819,ds7.bench.estimation
59,00000000000000000000000000000000000000001100000000000000000|00000000000000000000000000111111111111110000000000000000000|00000000000000000000000000000000000000110000000000000000000,0.019484671052015498,0.01254219,0.02768683,900001.0,0.01938277120068511,0.012489450999999999,0.027541657749999997,900002.0,0.0193686,ds7.bench.estimation
60,00000000000000000000000000000000000000110000000000000000000|00000000000000000000000000111111111111000000000000000000000|00000000000000000000000000000000000011000000000000000000000,0.007245385,0.007245385,0.007245385,1.0,,,,,0.00923617,ds7.bench.estimation
61,00000000000000000000000000000000000000110000000000000000000|00000000000000000000000000111111111111000000000000000000000|00000000000000000000000000000000001111000000000000000000000,0.010188134565886665,0.005450336925,0.016123024250000003,900000.0,0.01012917238242582,0.0054314932,0.016038348249999997,900002.0,0.00969939,ds7.bench.estimation
62,00000000000000000000000000000000000011000000000000000000000|00000000000000000000000000000000001100000000000000000000000|00000000000000000000000000000000000100000000000000000000000,0.03123162629656665,0.02331371825,0.0402471015,900000.0,0.031052840622465296,0.023172461,0.04004319674999999,900002.0,0.0307492,ds7.bench.estimation
63,00000000000000000000000000000000000011000000000000000000000|00000000000000000000000000111111111100000000000000000000000|00000000000000000000000000000000001100000000000000000000000,0.004263211,0.004263211,0.004263211,1.0,,,,,0.00370333,ds7.bench.estimation
64,00000000000000000000000000000000001100000000000000000000000|00000000000000000000000000000000000011000000000000000000000|00000000000000000000000000000000000001000000000000000000000,0.03161831616527777,0.023648216750000003,0.040717821,900000.0,0.03144496399685777,0.023500492499999998,0.04047435249999999,900002.0,0.0310732,ds7.bench.estimation
65,00000000000000000000000000000000001100000000000000000000000|00000000000000000000000000111111110000000000000000000000000|00000000000000000000000000000011110000000000000000000000000,0.01986186,0.01986186,0.01986186,1.0,,,,,0.0133395,ds7.bench.estimation
66,00000000000000000000000000000000001111000000000000000000000|00000000000000000000000000111111110000000000000000000000000|00000000000000000000000000000011110000000000000000000000000,0.012299451787748888,0.007138292725,0.018631012750000002,900000.0,0.012235739004005548,0.007099914075000001,0.018531145499999995,900002.0,0.0116275,ds7.bench.estimation
67,00000000000000000000000000000000110000000000000000000000000|00000000000000000000000000000011000000000000000000000000000|00000000000000000000000000000001000000000000000000000000000,0.016538569631401514,0.01103449,0.0231179,900001.0,0.01645204189583023,0.010958134,0.023028605999999997,900002.0,0.0160293,ds7.bench.estimation
68,00000000000000000000000000000011000000000000000000000000000|00000000000000000000000000000000110000000000000000000000000|00000000000000000000000000000000010000000000000000000000000,0.018516943388779575,0.01260337,0.02549716,900001.0,0.018413263600786434,0.01255334325,0.02535908975,900002.0,0.0178769,ds7.bench.estimation
69,00000000000000000000000000000011110000000000000000000000000|00000000000000000000000000111100000000000000000000000000000|00000000000000000000000000011000000000000000000000000000000,0.012291661303899484,0.00759630525,0.018036605,59931.0,0.012204601248584246,0.0075493168,0.017921948,59509.0,0.0117699,ds7.bench.estimation
70,00000000000000000000000000000011110000000000000000000000000|00000000000000000000000000111100000000000000000000000000000|00000000000000000000000000010100000000000000000000000000000,0.012288871695638236,0.0075494762,0.01806394,59265.0,0.012209927222394081,0.00756852525,0.017969485250000004,59480.0,0.0117699,ds7.bench.estimation
71,00000000000000000000000000000011110000000000000000000000000|00000000000000000000000000111100000000000000000000000000000|00000000000000000000000000001100000000000000000000000000000,0.01229591547026737,0.0076054435,0.018034445,59581.0,0.012219514015703453,0.0075518962,0.017989243250000002,59350.0,0.0117699,ds7.bench.estimation
72,00000000000000000000000000000011110000000000000000000000000|00000000000000000000000000111100000000000000000000000000000|00000000000000000000000000001000000000000000000000000000000,0.01228740972037453,0.007583288625,0.01808778,180706.0,0.012212741185780878,0.0075520871,0.017948643,179997.0,0.0117699,ds7.bench.estimation
73,00000000000000000000000000000011110000000000000000000000000|00000000000000000000000000111100000000000000000000000000000|00000000000000000000000000010000000000000000000000000000000,0.012292980776012498,0.0075893700500000005,0.0181143015,180519.0,0.012212901580021496,0.007539889825,0.01798466075,180514.0,0.0117699,ds7.bench.estimation
74,00000000000000000000000000000011110000000000000000000000000|00000000000000000000000000111100000000000000000000000000000|00000000000000000000000000011100000000000000000000000000000,0.012283840705407554,0.0075732822,0.0180452105,179767.0,0.012224987868654436,0.007546111350000001,0.017979168749999996,180638.0,0.011771,ds7.bench.estimation
75,00000000000000000000000000000011110000000000000000000000000|00000000000000000000000000111100000000000000000000000000000|00000000000000000000000000000100000000000000000000000000000,0.01228948714816459,0.007584053125,0.01806747,180232.0,0.01222040298761315,0.0075675916000000005,0.017961444749999993,180514.0,0.0117699,ds7.bench.estimation
76,00000000000000000000000000000100000000000000000000000000000|00000000000000000000000000011000000000000000000000000000000|00000000000000000000000000001000000000000000000000000000000,0.0005501957716787531,1.4616648000000001e-05,0.0020337035999999998,59977.0,0.0005479636837452255,1.40227e-05,0.0020195664000000006,60025.0,9.58843e-07,ds7.bench.estimation
77,00000000000000000000000000000100000000000000000000000000000|00000000000000000000000000101000000000000000000000000000000|00000000000000000000000000001000000000000000000000000000000,0.0005498833398346868,1.4434523749999999e-05,0.002020663875,60426.0,0.0005494811477166857,1.3817482e-05,0.0020139269999999987,59673.0,9.58832e-07,ds7.bench.estimation
78,00000000000000000000000000000100000000000000000000000000000|00000000000000000000000000110000000000000000000000000000000|00000000000000000000000000010000000000000000000000000000000,0.0005528461620416123,1.444799e-05,0.0020085327999999998,60277.0,0.0005500132597264385,1.3268733000000004e-05,0.0020214176000000004,59715.0,9.58832e-07,ds7.bench.estimation
79,00000000000000000000000000000100000000000000000000000000000|00000000000000000000000000111000000000000000000000000000000|00000000000000000000000000001000000000000000000000000000000,0.0005497424217011295,1.441539e-05,0.0020189155,59861.0,0.000551303983977686,1.388099e-05,0.0020507685,60071.0,9.58542e-07,ds7.bench.estimation
80,00000000000000000000000000000100000000000000000000000000000|00000000000000000000000000111000000000000000000000000000000|00000000000000000000000000011000000000000000000000000000000,0.0005520005959954364,1.332398e-05,0.00204362325,60331.0,0.0005468700668641496,1.315027675e-05,0.0020256998999999987,60338.0,9.58727e-07,ds7.bench.estimation
81,00000000000000000000000000000100000000000000000000000000000|00000000000000000000000000111000000000000000000000000000000|00000000000000000000000000010000000000000000000000000000000,0.0005516557322952436,1.3742259750000002e-05,0.0020360969500000004,60040.0,0.0005512822301592267,1.4441876e-05,0.002033346,60105.0,9.58542e-07,ds7.bench.estimation
82,00000000000000000000000000001000000000000000000000000000000|00000000000000000000000000010100000000000000000000000000000|00000000000000000000000000000100000000000000000000000000000,0.0005513397051236176,1.4015276e-05,0.0020137403,60047.0,0.0005441094724766405,1.3485354e-05,0.0020302935999999988,60617.0,9.58843e-07,ds7.bench.estimation
83,00000000000000000000000000001000000000000000000000000000000|00000000000000000000000000100100000000000000000000000000000|00000000000000000000000000000100000000000000000000000000000,0.0005521192506897738,1.460101625e-05,0.00205474125,59886.0,0.0005393039923588807,1.3959622500000001e-05,0.001981425125,60216.0,9.58832e-07,ds7.bench.estimation
84,00000000000000000000000000001000000000000000000000000000000|00000000000000000000000000110000000000000000000000000000000|00000000000000000000000000010000000000000000000000000000000,0.0005501797119874587,1.3610895e-05,0.002041976,59861.0,0.0005461313804084121,1.364356e-05,0.00201413575,60071.0,9.58832e-07,ds7.bench.estimation
85,00000000000000000000000000001000000000000000000000000000000|00000000000000000000000000110100000000000000000000000000000|00000000000000000000000000010100000000000000000000000000000,0.0005509580268768267,1.4792015750000007e-05,0.0020102125749999994,60298.0,0.0005485753878417915,1.3659566750000001e-05,0.002033509549999997,60244.0,9.58727e-07,ds7.bench.estimation
86,00000000000000000000000000001000000000000000000000000000000|00000000000000000000000000110100000000000000000000000000000|00000000000000000000000000000100000000000000000000000000000,0.0005541628745619172,1.3896975000000001e-05,0.0020385087,60277.0,0.0005462905042566798,1.40381455e-05,0.0020371231500000008,59715.0,9.58542e-07,ds7.bench.estimation
87,00000000000000000000000000001000000000000000000000000000000|00000000000000000000000000110100000000000000000000000000000|00000000000000000000000000010000000000000000000000000000000,0.0005536086942924894,1.4029105e-05,0.0020251115,60131.0,0.0005511319975789459,1.4433259250000001e-05,0.0020293903499999997,60038.0,9.58542e-07,ds7.bench.estimation
88,00000000000000000000000000001100000000000000000000000000000|00000000000000000000000000110000000000000000000000000000000|00000000000000000000000000010000000000000000000000000000000,0.00054833840040022,1.375459e-05,0.002016194,59581.0,0.0005469530979525832,1.342890225e-05,0.002022750225,59350.0,9.58822e-07,ds7.bench.estimation
89,00000000000000000000000000010000000000000000000000000000000|00000000000000000000000000001100000000000000000000000000000|00000000000000000000000000000100000000000000000000000000000,0.0005505321297066008,1.3969897000000003e-05,0.002017494399999999,59743.0,0.0005466040101049358,1.359992125e-05,0.00201858825,59996.0,9.62544e-07,ds7.bench.estimation
90,00000000000000000000000000010000000000000000000000000000000|00000000000000000000000000100100000000000000000000000000000|00000000000000000000000000000100000000000000000000000000000,0.0005470373749700174,1.3681552500000001e-05,0.00202385925,60131.0,0.0005448699736129471,1.4232551000000001e-05,0.0019922862499999992,60038.0,9.58832e-07,ds7.bench.estimation
91,00000000000000000000000000010000000000000000000000000000000|00000000000000000000000000101000000000000000000000000000000|00000000000000000000000000001000000000000000000000000000000,0.0005489015255163819,1.4136328250000003e-05,0.002031052875,60040.0,0.000547723767669099,1.3299992000000001e-05,0.0020345446000000003,60105.0,9.58832e-07,ds7.bench.estimation
92,00000000000000000000000000010000000000000000000000000000000|00000000000000000000000000101100000000000000000000000000000|00000000000000000000000000000100000000000000000000000000000,0.0005533789143498599,1.454104875e-05,0.0020228825,60426.0,0.0005511508352551007,1.4265970000000003e-05,0.0020302991999999985,59673.0,9.58542e-07,ds7.bench.estimation
93,00000000000000000000000000010000000000000000000000000000000|00000000000000000000000000101100000000000000000000000000000|00000000000000000000000000001000000000000000000000000000000,0.000548938701667915,1.4110525e-05,0.002023061875,59886.0,0.0005496456601267673,1.3810503750000001e-05,0.002040075625,60216.0,9.58542e-07,ds7.bench.estimation
94,00000000000000000000000000010000000000000000000000000000000|00000000000000000000000000101100000000000000000000000000000|00000000000000000000000000001100000000000000000000000000000,0.000553016562048083,1.3254591000000002e-05,0.0020488701499999998,60207.0,0.0005479175360640974,1.3915572000000001e-05,0.002021132400000001,60625.0,9.58727e-07,ds7.bench.estimation
95,00000000000000000000000000010100000000000000000000000000000|00000000000000000000000000101000000000000000000000000000000|00000000000000000000000000001000000000000000000000000000000,0.0005480067089464212,1.3787254e-05,0.0020093374000000014,59265.0,0.0005471316009345861,1.4190651000000004e-05,0.0020201230500000006,59480.0,9.58822e-07,ds7.bench.estimation
96,00000000000000000000000000011000000000000000000000000000000|00000000000000000000000000100100000000000000000000000000000|00000000000000000000000000000100000000000000000000000000000,0.0005522010771220813,1.42759925e-05,0.0020498105,59931.0,0.0005450103135516895,1.3698518000000002e-05,0.0020045963999999953,59509.0,9.58822e-07,ds7.bench.estimation
97,00000000000000000000000000100000000000000000000000000000000|00000000000000000000000000001100000000000000000000000000000|00000000000000000000000000000100000000000000000000000000000,0.0005476596887703095,1.3528374e-05,0.0020222656999999995,60207.0,0.000547809564126397,1.3119544e-05,0.002008592,60625.0,9.62574e-07,ds7.bench.estimation
98,00000000000000000000000000100000000000000000000000000000000|00000000000000000000000000010100000000000000000000000000000|00000000000000000000000000000100000000000000000000000000000,0.0005521340534752233,1.3471812250000002e-05,0.0020140683749999967,60298.0,0.000547500632481614,1.3676464e-05,0.002037362675,60244.0,9.62573e-07,ds7.bench.estimation
