,pcsp,unif_posterior,unif_lb,unif_ub,unif_samples,exp_posterior,exp_lb,exp_ub,exp_samples,gp,dataset
10,0000000000000000000000000000000000000000000000000000000000000010|1111111111111111111111111111111111111111111111111111111111100100|0000000000000000000000000000000000000000000000000000000000000100,0.004601883023707866,0.000350502745,0.010687332999999999,178.0,0.004515096661147541,0.00028316817,0.011726426999999987,183.0,0.0030619,ds8.bench.estimation
11,0000000000000000000000000000000000000000000000000000000000000010|1111111111111111111111111111111111111111111111111111111111111000|0000000000000000000000000000000000000000000000000000000000011000,0.0023778400789033457,0.000273025165,0.007018328274999993,538.0,0.00248339977588,0.00022350271750000002,0.007205964949999991,500.0,0.00128265,ds8.bench.estimation
12,0000000000000000000000000000000000000000000000000000000000000010|1111111111111111111111111111111111111111111111111111111111111100|0000000000000000000000000000000000000000000000000000000000011100,0.006463161843370005,0.001314869475,0.013447158750000002,11262.0,0.006342028678632149,0.0012286579,0.01349874899999999,10893.0,0.00372139,ds8.bench.estimation
13,0000000000000000000000000000000000000000000000000000000000000010|1111111111111111111111111111111111111111111111111111111111111100|0000000000000000000000000000000000000000000000000000000000011000,0.005367001160248111,0.0008562536400000001,0.01232910625,32828.0,0.005323599486060475,0.000859561995,0.012235174249999994,32014.0,0.00372098,ds8.bench.estimation
14,0000000000000000000000000000000000000000000000000000000000000010|1111111111111111111111111111111111111111111111111111111111111100|0000000000000000000000000000000000000000000000000000000000000100,0.006261866711982303,0.0012285707,0.013309466499999999,854588.0,0.006201756297274322,0.001211812375,0.01317509025,855800.0,0.00372129,ds8.bench.estimation
15,0000000000000000000000000000000000000000000000000000000000000100|0000000000000000000000000000000000000000000000000000000000011000|0000000000000000000000000000000000000000000000000000000000001000,0.01443795354669502,0.006113550125,0.0260930475,11286.0,0.014182142106039776,0.00613068425,0.02538946,10911.0,0.0126914,ds8.bench.estimation
16,0000000000000000000000000000000000000000000000000000000000000100|0000000000000000000000000000000000000000000000000000000000011010|0000000000000000000000000000000000000000000000000000000000000010,0.001394327177142857,2.8085839000000005e-05,0.005507757849999998,7.0,0.001396416209090909,0.000255970975,0.0045990885,11.0,9.58547e-07,ds8.bench.estimation
17,0000000000000000000000000000000000000000000000000000000000000100|1111111111111111111111111111111111111111111111111111111111100000|0000000000000000000000000000000000000000000000000000000000100000,0.0109474,0.0109474,0.0109474,1.0,0.01669192,0.01669192,0.01669192,1.0,0.00791911,ds8.bench.estimation
18,0000000000000000000000000000000000000000000000000000000000000100|1111111111111111111111111111111111111111111111111111111111100000|0000000000000000000000000000000000000000000000000000000011100000,0.005699178399749449,0.0017763846000000002,0.011677740999999991,33127.0,0.0056373924847791775,0.00172161025,0.01160576,32311.0,0.00466501,ds8.bench.estimation
19,0000000000000000000000000000000000000000000000000000000000000100|1111111111111111111111111111111111111111111111111111111111100010|0000000000000000000000000000000000000000000000000000000000000010,0.0012315728333333333,0.0001328886,0.0032568314,15.0,0.0011649234253846153,3.2725775e-05,0.0036378773999999996,13.0,9.59705e-07,ds8.bench.estimation
20,0000000000000000000000000000000000000000000000000000000000000100|1111111111111111111111111111111111111111111111111111111111111000|0000000000000000000000000000000000000000000000000000000011100000,0.0034932257080424888,0.000810583795,0.007984150699999994,659.0,0.0036299895898972605,0.0007737038900000001,0.008531400724999999,584.0,0.00231568,ds8.bench.estimation
21,0000000000000000000000000000000000000000000000000000000000000100|1111111111111111111111111111111111111111111111111111111111111000|0000000000000000000000000000000000000000000000000000000011111000,0.0034378906395112012,0.000567256175,0.00838589925,491.0,0.0035020231362962962,0.0006300965225000001,0.008496946649999998,540.0,0.00229658,ds8.bench.estimation
22,0000000000000000000000000000000000000000000000000000000000000100|1111111111111111111111111111111111111111111111111111111111111000|0000000000000000000000000000000000000000000000000000000000011000,0.0024693428445027163,0.00029730877250000015,0.006691297874999993,853438.0,0.0024422206192951526,0.00029226906249999997,0.0066324668750000005,854676.0,0.00127773,ds8.bench.estimation
23,0000000000000000000000000000000000000000000000000000000000000100|1111111111111111111111111111111111111111111111111111111111111010|0000000000000000000000000000000000000000000000000000000000011010,0.0013323408597777776,2.27377944e-05,0.0028946108,9.0,0.0013177499777777778,8.432734e-05,0.0034276989999999998,9.0,9.59876e-07,ds8.bench.estimation
24,0000000000000000000000000000000000000000000000000000000000000100|1111111111111111111111111111111111111111111111111111111111111010|0000000000000000000000000000000000000000000000000000000000011000,0.0010486476142857143,0.00022383856,0.0021753871,7.0,0.001742751089090909,0.000135361135,0.006000317,11.0,9.59568e-07,ds8.bench.estimation
25,0000000000000000000000000000000000000000000000000000000000000100|1111111111111111111111111111111111111111111111111111111111111010|0000000000000000000000000000000000000000000000000000000000000010,0.0011272689103033458,4.2631352750000006e-05,0.004387044649999989,538.0,0.001253104018438,3.8453008000000015e-05,0.004894369974999995,500.0,9.59521e-07,ds8.bench.estimation
26,0000000000000000000000000000000000000000000000000000000000000110|0000000000000000000000000000000000000000000000000000000000011000|0000000000000000000000000000000000000000000000000000000000001000,0.011070097875,0.005465337825,0.024801124250000004,8.0,0.011502796499999999,0.009309974674999999,0.013695618325,2.0,0.0127108,ds8.bench.estimation
27,0000000000000000000000000000000000000000000000000000000000000110|1111111111111111111111111111111111111111111111111111111111100000|0000000000000000000000000000000000000000000000000000000011100000,0.0057451485,0.0023224336000000003,0.011569731474999994,20.0,0.005270832759999999,0.002064946,0.01012355,25.0,0.00470066,ds8.bench.estimation
28,0000000000000000000000000000000000000000000000000000000000000110|1111111111111111111111111111111111111111111111111111111111111000|0000000000000000000000000000000000000000000000000000000000011000,0.002351420111167513,0.00029705356500000005,0.006300567575000001,394.0,0.0024863469150246302,0.000360032875,0.0060699615,406.0,0.00127721,ds8.bench.estimation
29,0000000000000000000000000000000000000000000000000000000000011000|0000000000000000000000000000000000000000000000000000000000000110|0000000000000000000000000000000000000000000000000000000000000010,0.0006692543674999999,2.3433371500000004e-05,0.00192933567,8.0,0.00299024395,0.0009102882525,0.0050701996475,2.0,9.67645e-07,ds8.bench.estimation
30,0000000000000000000000000000000000000000000000000000000000011000|0000000000000000000000000000000000000000000000000000000011100000|0000000000000000000000000000000000000000000000000000000000100000,0.010414899018329938,0.0050030249999999995,0.0183710225,491.0,0.010507044509259258,0.004382039225,0.017372579499999995,540.0,0.00990656,ds8.bench.estimation
31,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000000000000000111100000000,0.016305155,0.013945867249999999,0.01826131325,4.0,0.017610335,0.01400772775,0.01949149675,4.0,0.014555,ds8.bench.estimation
32,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111001100000000,0.01447844090909091,0.010469425000000001,0.016732657499999998,11.0,0.01480452,0.01066902,0.019064071999999998,9.0,0.0143137,ds8.bench.estimation
33,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000000000000000001100000000,0.014523598560000002,0.00791556505,0.0211833595,75.0,0.014586096171428574,0.007290253725,0.02400294874999999,70.0,0.0136618,ds8.bench.estimation
34,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111111100000000,0.011553857454205608,0.0051219607,0.0198845085,535.0,0.01157722434591195,0.0055308106,0.019089445,477.0,0.0126084,ds8.bench.estimation
35,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111000000000000,0.01472738132352941,0.009026638125,0.0221203145,34.0,0.01556170996153846,0.009729298375,0.024395208749999998,26.0,0.0148239,ds8.bench.estimation
36,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111111100000|0000000000000000000000000000000000000000000000000000000000100000,0.009186612,0.006967596575,0.011965371125,4.0,0.0104856062,0.0058060096,0.018016477,5.0,0.00639264,ds8.bench.estimation
37,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111111100000|0000000000000000000000000000000000000000000000000000000011100000,0.004220038925222934,0.000917439825,0.009704134375,854366.0,0.004167838335744943,0.00090722712,0.0095751942,855577.0,0.00318992,ds8.bench.estimation
38,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111111100010|0000000000000000000000000000000000000000000000000000000000000010,0.0009832229971428572,6.6290978e-05,0.0021210687999999997,7.0,0.0009817307936363635,8.98748475e-05,0.0018815045,11.0,9.59374e-07,ds8.bench.estimation
39,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111111100100|0000000000000000000000000000000000000000000000000000000000000100,0.0025723197954760236,7.611162875e-05,0.008317416350000002,32828.0,0.0025604801717396177,8.096305225e-05,0.008344690975,32014.0,9.50673e-07,ds8.bench.estimation
40,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111111100110|0000000000000000000000000000000000000000000000000000000000000110,0.0030249741900000003,0.00027305312,0.009202906949999996,20.0,0.0032068454119999995,0.00074803304,0.007351889399999997,25.0,9.58752e-07,ds8.bench.estimation
41,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111111100110|0000000000000000000000000000000000000000000000000000000000000100,0.0021751418733333334,0.00037637476999999997,0.010597515550000004,15.0,0.003175905615384616,0.0006239944,0.0073278089,13.0,9.58555e-07,ds8.bench.estimation
42,0000000000000000000000000000000000000000000000000000000000011000|1111111111111111111111111111111111111111111111111111111111100110|0000000000000000000000000000000000000000000000000000000000000010,0.0024509047739325845,0.0001329901525,0.0073316526999999965,178.0,0.0026188383718306007,1.9820848e-05,0.008499124599999993,183.0,9.58554e-07,ds8.bench.estimation
43,0000000000000000000000000000000000000000000000000000000000011010|1111111111111111111111111111111111111111111111111111111111100000|0000000000000000000000000000000000000000000000000000000011100000,0.005487540222222222,0.0029162154,0.009983143,9.0,0.004289521111111112,0.00126369,0.0098466744,9.0,0.00466468,ds8.bench.estimation
44,0000000000000000000000000000000000000000000000000000000000011010|1111111111111111111111111111111111111111111111111111111111100100|0000000000000000000000000000000000000000000000000000000000000100,0.0052364074924590165,0.00023820545000000003,0.01442082799999999,122.0,0.005756223528695653,0.00043202941,0.012496863499999991,115.0,9.58564e-07,ds8.bench.estimation
45,0000000000000000000000000000000000000000000000000000000000011100|1111111111111111111111111111111111111111111111111111111111100000|0000000000000000000000000000000000000000000000000000000011100000,0.005647391810326762,0.0017893069250000003,0.011642032500000002,11262.0,0.005618366397053152,0.0017985757,0.011462233999999996,10893.0,0.0046583,ds8.bench.estimation
46,0000000000000000000000000000000000000000000000000000000000011100|1111111111111111111111111111111111111111111111111111111111100010|0000000000000000000000000000000000000000000000000000000000000010,0.0014873548708333334,1.992125675e-05,0.004334733875,12.0,0.000874414618,0.000126177937,0.00176197565,10.0,9.59117e-07,ds8.bench.estimation
47,0000000000000000000000000000000000000000000000000000000000011110|1111111111111111111111111111111111111111111111111111111111100000|0000000000000000000000000000000000000000000000000000000011100000,0.0059747180740740745,0.00245847045,0.010617067999999997,27.0,0.006579563333333333,0.002508094,0.0099188145,21.0,0.00466577,ds8.bench.estimation
48,0000000000000000000000000000000000000000000000000000000000100000|0000000000000000000000000000000000000000000000000000000011000000|0000000000000000000000000000000000000000000000000000000001000000,0.021122874401105562,0.01280187,0.03146667350000001,899995.0,0.02089835021189094,0.01266001875,0.03112991375,899996.0,0.0198654,ds8.bench.estimation
49,0000000000000000000000000000000000000000000000000000000000100000|1111111111111111111111111111111111111111111111111111111111000000|0000000000000000000000000000000000000000000000000000000011000000,0.007471841799999999,0.005279998,0.0113280628,5.0,0.0071834478333333346,0.0028164323749999996,0.011416490875000001,6.0,0.00494421,ds8.bench.estimation
50,0000000000000000000000000000000000000000000000000000000011000000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111000000000000,0.01052179,0.01052179,0.01052179,1.0,,,,,0.0102659,ds8.bench.estimation
51,0000000000000000000000000000000000000000000000000000000011000000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000000000000000001100000000,0.00854900175,0.006168342974999999,0.0132219639,4.0,0.009457719333333335,0.00437697875,0.013883531250000001,6.0,0.00865293,ds8.bench.estimation
52,0000000000000000000000000000000000000000000000000000000011100000|0000000000000000000000000000000000000000000000000000000000011000|0000000000000000000000000000000000000000000000000000000000001000,0.013237640598778005,0.005618891500000001,0.0247640025,491.0,0.012857672835185185,0.00540100765,0.024249639749999993,540.0,0.0112976,ds8.bench.estimation
53,0000000000000000000000000000000000000000000000000000000011100000|1111111111111111111111111111111111111111111111111111111100000000|0000001110000000000000000000000000000000001111111111110000000000,0.01459173,0.01459173,0.01459173,1.0,,,,,0.0132468,ds8.bench.estimation
54,0000000000000000000000000000000000000000000000000000000011100000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111110000000000,0.012109635285140563,0.0060034816,0.020367492,249.0,0.012051630085585586,0.005836657025000001,0.020565594,222.0,0.01182,ds8.bench.estimation
55,0000000000000000000000000000000000000000000000000000000011100000|1111111111111111111111111111111111111111111111111111111100000000|0000001110000000000000000000000000000000001111111111111100000000,0.01037870494366197,0.0044900708,0.019988775999999996,213.0,,,,,0.0113565,ds8.bench.estimation
56,0000000000000000000000000000000000000000000000000000000011100000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000000000000000110000000000,0.012551455671981775,0.0058118696,0.02154236850000001,439.0,0.012218718933035713,0.005431290375,0.02021643325,448.0,0.0120786,ds8.bench.estimation
57,0000000000000000000000000000000000000000000000000000000011100000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111000000000000,0.012051973656102432,0.005866492725,0.020254230999999998,22024.0,0.01197391126023714,0.00585294265,0.020158658499999996,22687.0,0.0121495,ds8.bench.estimation
58,0000000000000000000000000000000000000000000000000000000011100000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000000000000000001100000000,0.011808517903504593,0.005604791600000001,0.020184594,31473.0,0.011722123917,0.00562330445,0.019983931999999986,32000.0,0.0109279,ds8.bench.estimation
59,0000000000000000000000000000000000000000000000000000000011100000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111111100000000,0.00966730505134771,0.004264502,0.01715303875,812786.0,0.00956998577884339,0.004215677625,0.01696844075,811250.0,0.0105865,ds8.bench.estimation
60,0000000000000000000000000000000000000000000000000000000011100000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000000000000000111100000000,0.012763819527421331,0.006377774100000001,0.021295180499999993,12235.0,0.012639744081419112,0.006230969,0.02100265399999998,12233.0,0.0118654,ds8.bench.estimation
61,0000000000000000000000000000000000000000000000000000000011100000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111001100000000,0.012388109924324325,0.006025353,0.020800057999999993,19425.0,0.012274983224191025,0.005962147199999999,0.020542105999999997,19809.0,0.0117446,ds8.bench.estimation
62,0000000000000000000000000000000000000000000000000000000011100000|1111111111111111111111111111111111111111111111111111111100011000|0000000000000000000000000000000000000000000000000000000000011000,0.0013856379465723824,3.33994095e-05,0.004630344999999998,659.0,0.0013696445470393163,4.955439000000001e-05,0.004477983599999999,585.0,9.59775e-07,ds8.bench.estimation
63,0000000000000000000000000000000000000000000000000000000011111000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111110000000000,0.01144577,0.01144577,0.01144577,1.0,,,,,0.0145405,ds8.bench.estimation
64,0000000000000000000000000000000000000000000000000000000011111000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000000000000000110000000000,0.01566813,0.01566813,0.01566813,1.0,,,,,0.0147725,ds8.bench.estimation
65,0000000000000000000000000000000000000000000000000000000011111000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111000000000000,0.0140839951,0.008443059125,0.02008525275,10.0,0.019003628571428573,0.0113897375,0.024657431,7.0,0.014751,ds8.bench.estimation
66,0000000000000000000000000000000000000000000000000000000011111000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000000000000000001100000000,0.014788749583333335,0.008138399125000001,0.024724475,12.0,0.015478926473684212,0.00974527665,0.0251904335,19.0,0.0136918,ds8.bench.estimation
67,0000000000000000000000000000000000000000000000000000000011111000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000000000000000111100000000,0.01483377125,0.01075771475,0.0176059855,8.0,0.0140431125,0.0115124105,0.01852979625,4.0,0.0145477,ds8.bench.estimation
68,0000000000000000000000000000000000000000000000000000000011111000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111001100000000,0.013886503,0.01017780025,0.0197767735,10.0,0.012931340166666668,0.006203247875,0.0184625125,6.0,0.0143073,ds8.bench.estimation
69,0000000000000000000000000000000000000000000000000000000011111000|1111111111111111111111111111111111111111111111111111111100000000|0000000000000000000000000000000000000000001111111111111100000000,0.011580987100222716,0.0057848798,0.020273192000000002,449.0,0.011598991401590458,0.00548471425,0.020000771,503.0,0.0125998,ds8.bench.estimation
70,0000000000000000000000000000000000000000000000000000001100000000|0000000000000000000000000000000000000000000000000000110000000000|0000000000000000000000000000000000000000000000000000010000000000,0.02037839949424079,0.011963132250000001,0.030848778250000007,727530.0,0.020165404219192367,0.011849502500000001,0.030488211499999997,726987.0,0.0187754,ds8.bench.estimation
71,0000000000000000000000000000000000000000000000000000001100000000|0000000000000000000000000000000000000000001111111111000000000000|0000000000000000000000000000000000000000000001011111000000000000,0.007409902,0.007409902,0.007409902,1.0,,,,,0.00890172,ds8.bench.estimation
72,0000000000000000000000000000000000000000000000000000001100000000|0000000000000000000000000000000000000000001111111111000000000000|0000000000000000000000000000000000000000000000011110000000000000,0.010153059253333334,0.00521923135,0.016697261999999994,75.0,0.01039562981707317,0.003407718025,0.015969531999999998,82.0,0.0093466,ds8.bench.estimation
73,0000000000000000000000000000000000000000000000000000001100000000|0000000000000000000000000000000000000000001111111111000000000000|0000000000000000000000000000000000000000000000011111000000000000,0.010177296185714287,0.004612823525,0.017194935749999994,70.0,0.0102604216,0.0047052398,0.018250154,65.0,0.00926703,ds8.bench.estimation
74,0000000000000000000000000000000000000000000000000000001100000000|0000000000000000000000000000000000000000001111111111000000000000|0000000000000000000000000000000000000000000000111110000000000000,0.005548765,0.005548765,0.005548765,1.0,0.01090963,0.01090963,0.01090963,1.0,0.00879811,ds8.bench.estimation
75,0000000000000000000000000000000000000000000000000000001100000000|0000000000000000000000000000000000000000001111111111000000000000|0000000000000000000000000000000000000000000000000001000000000000,0.008013457890565994,0.003047381125,0.015130903499999989,86220.0,0.007915175968360763,0.00302490735,0.014895563000000002,86339.0,0.00712753,ds8.bench.estimation
76,0000000000000000000000000000000000000000000000000000001100000000|0000000000000000000000000000000000000000001111111111110000000000|0000000000000000000000000000000000000000000000000000110000000000,0.002440011918029282,0.00023923682,0.006825175249999999,46958.0,0.0024224571018543807,0.0002410031,0.006731002,46421.0,0.00124262,ds8.bench.estimation
77,0000000000000000000000000000000000000000000000000000001100000000|0000001110000000000000000000000000000000001111111111000000000000|0000000000000000000000000000000000000000001111111111000000000000,0.005642589,0.005642589,0.005642589,1.0,,,,,0.00470789,ds8.bench.estimation
78,0000000000000000000000000000000000000000000000000000001100000000|0000001110000000000000000000000000000000001111111111000000000000|0000000000000000000000000000000000000000000000000001000000000000,0.008031587,0.004970975874999999,0.011049409999999999,6.0,,,,,0.00688898,ds8.bench.estimation
79,0000000000000000000000000000000000000000000000000000001100000000|0000001110000000000000000000000000000000001111111111110000000000|0000000000000000000000000000000000000000000000000000110000000000,0.0028630375111111115,0.0004154393425,0.006014733249999999,18.0,,,,,0.0012256,ds8.bench.estimation
80,0000000000000000000000000000000000000000000000000000001100000000|1111110001111111111111111111111111111111110000000000000000000000|0000000000000011111111111111111111111111110000000000000000000000,0.01331036,0.01331036,0.01331036,1.0,,,,,0.00803583,ds8.bench.estimation
81,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111110000000000000000000000|0000000000000111111111111111111111111111110000000000000000000000,0.014018056299999998,0.00902519565,0.020893998999999993,20.0,0.01333343312,0.0081988392,0.023354525999999997,25.0,0.0119645,ds8.bench.estimation
82,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111110000000000000000000000|0000001110000111111111111111111111111111110000000000000000000000,0.012365816400000002,0.0099519628,0.015335497,5.0,,,,,0.0112375,ds8.bench.estimation
83,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111110000000000000000000000|0000001110000011111111111111111111111111110000000000000000000000,0.011686601127659572,0.006309835,0.0201613745,47.0,,,,,0.00932609,ds8.bench.estimation
84,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111110000000000000000000000|0000000000000011111111111111111111111111110000000000000000000000,0.012623167795698925,0.0055888536,0.023420514000000003,93.0,,,,,0.00877771,ds8.bench.estimation
85,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111110000000000000000000000|0000001110000000000000000000000000000000000000000000000000000000,0.010330983175257732,0.004818384025,0.016416711999999986,194.0,,,,,0.00824134,ds8.bench.estimation
86,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111110000000000110000000000|0000000000000011111111111111111111111111110000000000110000000000,0.009080175,0.009080175,0.009080175,1.0,,,,,0.00581108,ds8.bench.estimation
87,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111110000000000110000000000|0000000000000000000000000000000000000000000000000000110000000000,0.0055077673059333145,0.00103417815,0.012373209999999996,7123.0,0.005463394281134443,0.0009417514275,0.012255734499999994,7572.0,0.00231312,ds8.bench.estimation
88,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111111111111111000000000000|0000001110000000000000000000000000000000001111111111000000000000,0.01051845,0.01051845,0.01051845,1.0,,,,,0.00424872,ds8.bench.estimation
89,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111111111111111000000000000|0000000000000000000000000000000000000000001111111111000000000000,0.003459321785915493,0.000452720175,0.00873595875,71.0,0.0039575231725,0.00033082582,0.011019809499999991,92.0,0.000919051,ds8.bench.estimation
90,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111111111111111110000000000|0000000000000011111111111111111111111111110000000000110000000000,0.0041552625,0.0027889467,0.0067745930499999996,4.0,,,,,0.00457682,ds8.bench.estimation
91,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111111111111111110000000000|0000001110000000000000000000000000000000001111111111000000000000,0.005636985440186916,0.00144323595,0.012470272499999992,107.0,,,,,0.00434407,ds8.bench.estimation
92,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111111111111111110000000000|0000000000000000000000000000000000000000000000000000110000000000,0.003394940444487449,0.00037979736500000003,0.008772465749999998,1235.0,0.003445619040196079,0.00028654047,0.009091908300000002,1173.0,0.00223959,ds8.bench.estimation
93,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111111111111111110000000000|0000001110000000000000000000000000000000001111111111110000000000,0.005344716358866545,0.00170032665,0.010904185500000005,547.0,,,,,0.00402836,ds8.bench.estimation
94,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111111111111111110000000000|0000000000000000000000000000000000000000001111111111110000000000,0.003253117489388317,0.000380370295,0.008449849650000002,6899.0,0.0032536887337924008,0.00036777996,0.0084063517,6869.0,0.00223917,ds8.bench.estimation
95,0000000000000000000000000000000000000000000000000000001100000000|1111111111111111111111111111111111111111111111111111110000000000|0000000000000000000000000000000000000000001111111111000000000000,0.0033265330731857105,0.0003715700575,0.008619905074999996,22772.0,0.0032816562778128617,0.00037971165000000003,0.008573842,23371.0,0.0022952,ds8.bench.estimation
96,0000000000000000000000000000000000000000000000000000110000000000|0000000000000000000000000000000000000000000000000000001100000000|0000000000000000000000000000000000000000000000000000000100000000,0.013301475073904855,0.00623206885,0.022598898000000006,727530.0,0.013162881902421089,0.0061574593,0.022363527499999997,726987.0,0.0126564,ds8.bench.estimation
97,0000000000000000000000000000000000000000000000000000110000000000|0000000000000000000000000000000000000000001111111111000000000000|0000000000000000000000000000000000000000000001000001000000000000,0.009647139666666667,0.008230687050000001,0.010651478,3.0,,,,,0.00823694,ds8.bench.estimation
